@relation dataset

@attribute ID numeric
@attribute Time date 'yyyy/MM/dd HH:mm:ss:SSS'
@attribute 'Training round' numeric
@attribute inputs-1 numeric
@attribute inputs-2 numeric
@attribute inputs-3 numeric
@attribute inputs-4 numeric
@attribute outputs-1 numeric

@data
168,'2018/11/21 07:43:20:817',1,69.606979,9.90857,127,819,?
169,'2018/11/21 07:43:20:835',1,69.696068,10.008648,114,820,?
170,'2018/11/21 07:43:20:851',1,69.7183,10.034842,101,822,?
171,'2018/11/21 07:43:20:866',1,69.777092,10.10705,93,822,?
172,'2018/11/21 07:43:20:882',1,69.802422,10.136148,89,822,?
173,'2018/11/21 07:43:20:900',1,69.812988,10.160528,89,821,?
174,'2018/11/21 07:43:20:917',1,69.812706,10.176712,89,821,?
175,'2018/11/21 07:43:20:937',1,69.843834,10.214952,89,821,?
176,'2018/11/21 07:43:20:954',1,69.876747,10.206067,101,820,?
177,'2018/11/21 07:43:20:975',1,69.880295,10.142846,119,819,?
178,'2018/11/21 07:43:20:981',1,69.880295,10.142846,144,819,?
179,'2018/11/21 07:43:21:019',1,69.807213,10.090431,170,819,?
180,'2018/11/21 07:43:21:021',1,69.786507,10.087371,170,819,?
181,'2018/11/21 07:43:21:032',1,69.744019,10.074887,259,822,?
182,'2018/11/21 07:43:21:048',1,69.678894,10.045525,295,822,?
183,'2018/11/21 07:43:21:064',1,69.658562,10.012119,320,822,?
184,'2018/11/21 07:43:21:082',1,69.648369,10.003258,347,822,?
185,'2018/11/21 07:43:21:099',1,69.707039,9.974486,367,822,?
186,'2018/11/21 07:43:21:115',1,69.716721,9.966193,381,822,?
187,'2018/11/21 07:43:21:132',1,69.813728,9.960686,392,822,?
188,'2018/11/21 07:43:21:149',1,69.837357,9.965538,396,819,?
189,'2018/11/21 07:43:21:165',1,69.903839,9.963036,396,819,?
190,'2018/11/21 07:43:21:182',1,69.936325,9.979265,396,819,?
191,'2018/11/21 07:43:21:198',1,69.9133,9.951056,377,818,?
192,'2018/11/21 07:43:21:215',1,69.829727,9.918625,352,818,?
193,'2018/11/21 07:43:21:231',1,69.810524,9.907575,328,818,?
194,'2018/11/21 07:43:21:249',1,69.718857,9.920485,299,818,?
195,'2018/11/21 07:43:21:265',1,69.696167,9.926579,270,818,?
196,'2018/11/21 07:43:21:282',1,69.631676,9.946212,234,819,?
197,'2018/11/21 07:43:21:299',1,69.613808,9.964808,205,820,?
198,'2018/11/21 07:43:21:316',1,69.605057,9.992466,168,821,?
199,'2018/11/21 07:43:21:331',1,69.594376,10.019253,142,822,?
200,'2018/11/21 07:43:21:351',1,69.588623,10.056416,119,823,?
201,'2018/11/21 07:43:21:363',1,69.570541,10.100234,97,822,?
202,'2018/11/21 07:43:21:381',1,69.566811,10.155947,79,822,?
203,'2018/11/21 07:43:21:399',1,69.566315,10.16527,68,822,?
204,'2018/11/21 07:43:21:414',1,69.585686,10.194058,61,822,?
205,'2018/11/21 07:43:21:430',1,69.590836,10.192013,59,822,?
206,'2018/11/21 07:43:21:447',1,69.623146,10.211298,59,822,?
207,'2018/11/21 07:43:21:465',1,69.62117,10.185323,60,822,?
208,'2018/11/21 07:43:21:482',1,69.613556,10.211515,74,822,?
209,'2018/11/21 07:43:21:498',1,69.626915,10.248618,92,822,?
210,'2018/11/21 07:43:21:517',1,69.596085,10.252226,92,822,?
211,'2018/11/21 07:43:21:540',1,69.569397,10.236479,139,826,?
212,'2018/11/21 07:43:21:550',1,69.535622,10.211551,164,826,?
213,'2018/11/21 07:43:21:566',1,69.500702,10.177771,192,826,?
214,'2018/11/21 07:43:21:583',1,69.468575,10.159761,220,827,?
215,'2018/11/21 07:43:21:600',1,69.447365,10.147998,248,828,?
216,'2018/11/21 07:43:21:618',1,69.437546,10.136292,279,826,?
217,'2018/11/21 07:43:21:633',1,69.442909,10.129987,310,827,?
218,'2018/11/21 07:43:21:650',1,69.457062,10.126518,340,827,?
219,'2018/11/21 07:43:21:668',1,69.486374,10.127869,340,827,?
220,'2018/11/21 07:43:21:684',1,69.508392,10.124117,390,824,?
221,'2018/11/21 07:43:21:700',1,69.574203,10.103086,406,823,?
222,'2018/11/21 07:43:21:714',1,69.610756,10.088165,406,823,?
223,'2018/11/21 07:43:21:731',1,69.693344,10.057326,421,822,?
224,'2018/11/21 07:43:21:749',1,69.758591,10.026206,421,822,?
225,'2018/11/21 07:43:21:767',1,69.75386,10.006278,415,819,?
226,'2018/11/21 07:43:21:783',1,69.772781,10.003407,389,821,?
227,'2018/11/21 07:43:21:800',1,69.644463,9.897402,359,821,?
228,'2018/11/21 07:43:21:817',1,69.554199,9.901521,319,822,?
229,'2018/11/21 07:43:21:834',1,69.461525,9.917496,283,822,?
230,'2018/11/21 07:43:21:849',1,69.357971,9.930833,283,822,?
231,'2018/11/21 07:43:21:865',1,69.318031,9.9171,213,822,?
232,'2018/11/21 07:43:21:881',1,69.303917,9.917793,183,822,?
233,'2018/11/21 07:43:21:899',1,69.253426,9.872492,152,822,?
234,'2018/11/21 07:43:21:925',1,69.22834,9.850759,152,822,?
235,'2018/11/21 07:43:21:934',1,69.220901,9.833406,107,816,?
236,'2018/11/21 07:43:21:952',1,69.189156,9.817107,92,819,?
237,'2018/11/21 07:43:21:966',1,69.195587,9.826262,80,817,?
238,'2018/11/21 07:43:21:982',1,69.20472,9.829154,75,816,?
239,'2018/11/21 07:43:21:998',1,69.236404,9.878697,74,815,?
240,'2018/11/21 07:43:22:015',1,69.257233,9.932633,74,815,?
241,'2018/11/21 07:43:22:031',1,69.27475,10.000808,74,815,?
242,'2018/11/21 07:43:22:051',1,69.299423,10.070002,86,815,?
243,'2018/11/21 07:43:22:064',1,69.332169,10.136551,100,815,?
244,'2018/11/21 07:43:22:083',1,69.354729,10.166416,122,815,?
245,'2018/11/21 07:43:22:097',1,69.362778,10.152003,147,815,?
246,'2018/11/21 07:43:22:115',1,69.348259,10.116551,172,815,?
247,'2018/11/21 07:43:22:130',1,69.31881,10.082306,198,815,?
248,'2018/11/21 07:43:22:149',1,69.263268,9.998901,228,815,?
249,'2018/11/21 07:43:22:169',1,69.252586,9.963704,257,816,?
250,'2018/11/21 07:43:22:182',1,69.237236,9.865549,288,818,?
251,'2018/11/21 07:43:22:198',1,69.257454,9.823873,319,820,?
252,'2018/11/21 07:43:22:214',1,69.292351,9.766423,349,819,?
253,'2018/11/21 07:43:22:231',1,69.336334,9.715021,371,819,?
254,'2018/11/21 07:43:22:249',1,69.408485,9.631742,392,819,?
255,'2018/11/21 07:43:22:264',1,69.467972,9.598016,407,819,?
256,'2018/11/21 07:43:22:282',1,69.50811,9.581321,422,817,?
257,'2018/11/21 07:43:22:307',1,69.575302,9.555526,430,814,?
258,'2018/11/21 07:43:22:316',1,69.594292,9.546947,433,812,?
259,'2018/11/21 07:43:22:332',1,69.604057,9.566104,434,810,?
260,'2018/11/21 07:43:22:348',1,69.577629,9.508992,434,810,?
261,'2018/11/21 07:43:22:367',1,69.526138,9.428904,430,809,?
262,'2018/11/21 07:43:22:382',1,69.453079,9.350066,417,809,?
263,'2018/11/21 07:43:22:398',1,69.35347,9.235853,396,808,?
264,'2018/11/21 07:43:22:418',1,69.269371,9.166336,368,804,?
265,'2018/11/21 07:43:22:438',1,69.226883,9.159346,368,804,?
266,'2018/11/21 07:43:22:451',1,69.178543,9.162608,305,795,?
267,'2018/11/21 07:43:22:465',1,69.20668,9.222149,273,790,?
268,'2018/11/21 07:43:22:481',1,69.218124,9.243093,246,785,?
269,'2018/11/21 07:43:22:498',1,69.272827,9.269934,226,779,?
270,'2018/11/21 07:43:22:514',1,69.296684,9.281189,211,773,?
271,'2018/11/21 07:43:22:541',1,69.291931,9.237522,211,773,?
272,'2018/11/21 07:43:22:551',1,69.269806,9.18493,198,768,?
273,'2018/11/21 07:43:22:566',1,69.224014,9.130327,189,763,?
274,'2018/11/21 07:43:22:583',1,69.229713,9.165423,183,754,?
275,'2018/11/21 07:43:22:601',1,69.212257,9.145153,183,754,?
276,'2018/11/21 07:43:22:615',1,69.242233,9.173116,183,754,?
277,'2018/11/21 07:43:22:632',1,69.539612,9.292006,183,754,?
278,'2018/11/21 07:43:22:649',1,69.655426,9.268133,183,754,?
279,'2018/11/21 07:43:22:666',1,69.763397,9.284884,183,754,?
280,'2018/11/21 07:43:22:683',1,69.804916,9.25105,183,754,?
281,'2018/11/21 07:43:22:699',1,69.796509,9.203019,183,754,?
282,'2018/11/21 07:43:22:713',1,69.761925,9.156372,183,754,?
283,'2018/11/21 07:43:22:730',1,69.747086,9.137462,183,754,?
284,'2018/11/21 07:43:22:749',1,69.696503,9.034255,183,754,?
285,'2018/11/21 07:43:22:766',1,69.693748,8.969787,183,754,?
286,'2018/11/21 07:43:22:782',1,69.683212,8.971721,183,754,?
287,'2018/11/21 07:43:22:800',1,69.700165,8.928931,183,754,?
288,'2018/11/21 07:43:22:814',1,69.771194,8.813268,183,754,?
289,'2018/11/21 07:43:22:833',1,69.810036,8.74453,183,754,?
290,'2018/11/21 07:43:22:849',1,69.836296,8.676104,183,754,?
291,'2018/11/21 07:43:22:866',1,69.862976,8.548426,183,754,?
292,'2018/11/21 07:43:22:883',1,69.881744,8.495487,183,754,?
293,'2018/11/21 07:43:22:899',1,69.935066,8.426084,183,754,?
294,'2018/11/21 07:43:22:914',1,69.963875,8.408531,183,754,?
295,'2018/11/21 07:43:22:931',1,69.990456,8.401756,183,754,?
296,'2018/11/21 07:43:22:947',1,70.017822,8.378143,183,754,?
